x,y,z,j1,j2,j3,j4
-0.176926,0.386405,0.341542,-24.6019,0.1836,-73.5923,63.6471
-0.178689,-0.205897,0.242558,-139.0468,-15.8751,-89.7870,-64.9583
0.117833,-0.297617,1.079102,158.4003,48.2742,21.9098,-128.3709
-0.214320,0.314188,0.157105,-34.2994,-31.7141,-39.7381,47.2502
-0.078431,0.586701,0.519439,-7.6142,2.2808,-19.6501,23.1829
-0.271952,0.425430,0.782780,-32.5883,43.1462,-52.1289,-159.3304
0.272133,0.113782,1.076836,67.3096,73.3600,-34.1492,76.1898
0.098983,-0.467069,0.748303,168.0347,46.4816,-67.1185,-82.1127
-0.445682,-0.169171,0.266121,-110.7857,-49.2085,38.5656,84.6066
-0.545543,-0.116797,0.406988,-102.0842,-29.4510,29.6447,-8.8114
0.259640,-0.183151,0.139547,125.1993,-32.7487,-52.5842,-50.6705
0.177723,-0.103179,0.155321,-59.8621,-84.5317,-78.5652,8.5939
-0.410597,0.382120,0.380662,-47.0574,-11.5637,-19.3552,80.8646
0.204834,-0.525758,0.535780,158.7142,-21.4346,41.3113,-154.0648
-0.233528,-0.316345,1.012727,-143.5650,59.7809,-29.2027,-28.4147
-0.139505,0.086406,0.169134,-58.2269,-33.8637,-87.3399,15.7592
-0.006831,-0.070730,0.102844,5.5168,-68.4038,-75.1894,60.3621
0.540012,-0.029317,0.340758,93.1075,-14.1714,-23.4678,70.9945
0.434997,-0.207694,0.653016,115.5226,-20.8400,73.5191,-91.2372
0.073015,0.567958,0.459076,7.3256,-0.0655,-28.7558,85.6474
0.201501,-0.564655,0.646015,160.3608,4.4332,4.4679,139.7280
-0.435118,-0.325230,0.752140,-126.7764,1.5194,39.1018,56.9070
0.596221,-0.060647,0.517452,95.8081,-3.1211,-6.8519,129.4030
0.054380,0.286160,0.051457,10.7598,-60.2290,-2.2012,65.5889
0.360165,0.048914,0.231852,82.2660,-71.2212,68.1553,5.3772
-0.037790,0.053942,1.125236,144.9861,76.5379,49.8126,143.9405
0.347067,0.321035,0.771897,47.2314,-4.4268,65.6806,119.0130
-0.143602,-0.336681,0.948990,-156.9007,70.4002,-62.1491,79.2298
-0.233543,-0.377310,0.326209,-148.2438,-3.3796,-65.3348,122.2222
0.039894,0.408407,0.158390,5.5790,-34.9548,-26.2190,-91.7453
0.134104,0.503611,0.728145,14.9111,37.5377,-53.1538,-116.4816
0.412053,-0.070084,0.190139,99.6528,-58.6593,38.0851,38.4475
-0.247230,-0.423105,0.323193,-149.7013,-47.2427,47.8887,-14.6520
0.129567,-0.462507,0.504560,164.3502,20.6886,-73.9576,102.9416
-0.023472,-0.009778,1.168951,67.3848,82.0702,25.1976,-19.8549
0.067486,0.199386,1.145373,18.6993,71.1286,-3.7417,-30.0846
0.002203,0.535351,0.301901,0.2358,-25.8765,-3.8002,53.6678
-0.414982,-0.318080,0.874154,-127.4699,24.0476,12.8405,109.1887
-0.484874,-0.117670,0.876230,-103.6410,44.0700,-32.4656,-38.9463
0.221484,0.081998,0.031544,69.6844,-59.6607,-17.0270,133.5074
-0.318261,0.276113,0.409707,-49.0561,11.1495,-83.8322,-99.8533
0.105470,-0.039462,0.038108,110.5136,-58.7161,-47.7847,87.7844
-0.142352,-0.303271,0.077909,-154.8552,-56.2802,-0.0164,-157.9838
-0.450927,0.315296,0.338221,-55.0381,-19.2533,-10.7948,106.3252
0.347600,0.487848,0.537289,35.4705,0.7735,-11.7226,-102.1846
-0.234111,-0.100096,0.037115,-113.1495,-70.4004,13.3564,-101.6799
-0.280865,0.051687,0.048907,-79.5727,-63.8696,5.1616,54.9773
-0.426566,0.143185,0.975462,-71.4447,47.2306,-14.3053,92.4244
-0.416451,-0.208719,0.873172,-116.6194,12.0586,49.2483,90.8356
0.358085,-0.339914,0.655063,133.5087,36.6109,-69.5169,-40.1888
-0.149072,0.072501,1.045849,-64.0641,41.8158,71.2053,56.8892
-0.123118,0.531613,0.565642,-13.0394,-22.4620,51.3413,-94.4030
0.054077,0.360911,0.216444,8.5215,-70.7259,63.8856,-106.1742
-0.015026,-0.034657,1.106967,-156.5599,62.0241,58.7995,12.0129
0.142524,0.211727,0.157337,33.9464,-30.1874,-71.4477,-70.8480
0.075236,-0.062140,0.038684,129.5546,-59.5875,-49.4192,9.6789
0.446496,0.169523,0.625666,69.2095,35.8391,-76.0411,19.5014
0.314253,0.149676,1.048273,64.5320,65.7979,-30.1353,-124.9018
0.283819,0.013823,1.094448,87.2118,50.0448,26.7576,-136.9910
0.512555,-0.178968,0.839780,109.2476,21.9074,8.8495,155.2801
0.251120,-0.157699,1.078568,122.1281,72.6787,-32.5868,43.0383
-0.289030,-0.140666,0.937506,-115.9513,78.3016,-75.7223,-152.9329
0.310987,0.072704,0.078070,76.8414,-65.6957,19.7506,-18.7631
-0.520050,-0.007506,0.880618,-90.8269,25.3330,11.3426,51.9934
-0.475745,0.111827,0.460536,-76.7724,13.7457,-68.2282,-18.3737
-0.100782,0.060060,0.049178,120.7923,-81.1114,-52.3471,-155.4237
-0.462234,-0.191087,0.762828,-112.4602,-3.1309,57.0866,-120.4304
-0.437818,-0.290044,0.479678,-123.5235,12.0509,-56.2046,-76.2087
0.202538,-0.143962,0.146777,125.4048,-32.1997,-69.5070,-28.6692
0.075058,-0.319869,0.223038,166.7944,-17.6316,-74.3012,-14.3786
0.177374,0.160403,0.059268,47.8763,-50.0374,-37.2040,39.3829
-0.351506,-0.011005,0.827179,-91.7933,70.6593,-90.8938,-109.1488
0.163442,-0.044580,0.174715,105.2567,-32.6438,-88.2420,141.5376
-0.097372,0.461334,0.768987,-11.9183,-4.9883,66.5020,7.3547
0.556302,-0.052672,0.351775,95.4088,-22.1724,-0.1064,34.8395
0.100407,-0.320886,0.294639,162.6248,-5.8182,-87.7481,15.3528
0.520485,0.144969,0.484317,74.4360,-30.4837,50.0430,-134.7903
-0.384488,-0.062941,0.141790,-99.2969,-36.8621,-27.8741,15.5824
0.086419,-0.066626,1.074856,-52.3690,75.4398,66.9383,156.4027
-0.066013,-0.269292,1.109992,-166.2263,68.8631,-15.6637,-24.8151
0.232731,0.294899,1.044277,38.2801,58.0182,-16.9170,-10.9847
0.269645,0.430479,0.742653,32.0624,-5.3220,56.7481,103.0926
0.438126,0.197008,0.511158,65.7884,-37.8798,74.2559,49.9717
-0.524706,0.128943,0.465812,-76.1936,-31.7107,48.3711,-143.2722
-0.009574,0.546312,0.323995,-1.0040,-23.8512,-3.0265,-91.5389
-0.396568,-0.163077,1.003764,-112.3535,42.2713,5.7739,-108.6217
-0.532998,-0.119256,0.811426,-102.6120,14.0204,21.6444,37.8742
0.231120,-0.103484,0.161122,114.1204,-29.6283,-72.8782,-145.4193
0.213334,0.037307,1.118075,80.0806,81.5147,-32.6305,51.4516
0.060929,-0.148573,1.035610,-22.2983,79.4270,74.9751,-112.7656
0.183147,-0.179449,0.035127,134.4156,-68.0933,7.9560,-82.2088
0.250939,-0.358930,0.189822,145.0414,-53.1339,27.7211,149.2208
0.349992,0.143867,1.045660,67.6545,45.6602,12.6657,-139.1429
-0.264718,-0.263948,1.037724,-134.9165,60.6040,-23.8340,-155.9648
0.435120,-0.342724,0.777969,128.2258,8.7989,26.3370,-138.4594
-0.321309,0.222508,1.038754,-55.2972,52.2540,-6.4792,102.1971
-0.478693,-0.065670,0.496208,-97.8114,-38.9426,72.5737,-144.0507
-0.090435,0.377214,0.878670,-13.4819,8.3891,72.8480,-103.4532
0.474427,0.319497,0.388909,56.0422,-16.4259,-4.9452,112.1315
-0.141521,-0.036384,1.127962,-104.4182,58.3697,40.6786,-54.3249
0.190899,0.177181,0.079844,47.1343,-79.9027,42.4482,145.0148
-0.186105,0.526274,0.525470,-19.4750,-23.6385,44.0650,-104.7129
0.143259,0.092430,0.152476,57.1702,-35.7106,-82.0968,-1.9340
-0.558738,0.017125,0.770438,-88.2445,28.8211,-24.2380,-72.7812
0.199645,-0.452774,0.447090,156.2056,-41.2568,64.9016,-157.6848
0.242799,-0.461534,0.276083,152.2525,-30.1166,-0.2796,0.7367
-0.298160,0.081889,1.042459,-74.6426,37.2433,46.3932,101.1239
0.221182,-0.403562,0.323100,151.2740,-53.2439,59.3058,143.9458
0.406718,-0.370163,0.703332,132.3060,30.1163,-42.6116,-88.4614
-0.054754,0.122489,1.087748,155.9149,80.4431,60.0464,134.3458
-0.520370,-0.068403,0.482744,-97.4886,12.5120,-56.5748,-105.3229
0.302618,-0.327956,0.238370,137.3011,-19.6160,-43.4694,88.0205
0.155590,-0.358655,0.333273,156.5480,0.0757,-81.4837,-22.7309
-0.251740,-0.265124,0.102246,-136.4834,-56.5045,9.4917,110.9595
-0.317340,0.445816,0.569197,-35.4439,-21.8224,50.6754,114.6595
0.012708,0.046693,0.054987,15.2251,-60.6907,-59.2310,133.4864
-0.236520,-0.539766,0.587118,-156.3375,11.1468,-25.3264,57.3035
0.297137,-0.335570,0.874677,138.4760,55.9037,-55.4770,19.0538
-0.309930,0.014825,1.089149,-87.2615,66.1573,-18.1780,-13.3624
-0.443393,0.111079,0.192944,-75.9357,-46.2309,14.4388,121.5344
